Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056794,E00056794,7,40km to less than 60km,0
E00056794,E00056794,8,60km and over,2
E00056794,E00056794,9,Works mainly from home,67
E00056794,E00056794,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",8
E00056795,E00056795,-8,Does not apply,151
E00056795,E00056795,1,Less than 2km,21
E00056795,E00056795,2,2km to less than 5km,6
E00056795,E00056795,3,5km to less than 10km,10
E00056795,E00056795,4,10km to less than 20km,22
E00056795,E00056795,5,20km to less than 30km,7
E00056795,E00056795,6,30km to less than 40km,0
E00056795,E00056795,7,40km to less than 60km,0
E00056795,E00056795,8,60km and over,2
E00056795,E00056795,9,Works mainly from home,22
E00056795,E00056795,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",18
E00056796,E00056796,-8,Does not apply,126
E00056796,E00056796,1,Less than 2km,23
E00056796,E00056796,2,2km to less than 5km,17
E00056796,E00056796,3,5km to less than 10km,18
E00056796,E00056796,4,10km to less than 20km,19
E00056796,E00056796,5,20km to less than 30km,3
E00056796,E00056796,6,30km to less than 40km,1
E00056796,E00056796,7,40km to less than 60km,0
E00056796,E00056796,8,60km and over,0
E00056796,E00056796,9,Works mainly from home,20
E00056796,E00056796,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056797,E00056797,-8,Does not apply,121
E00056797,E00056797,1,Less than 2km,8
E00056797,E00056797,2,2km to less than 5km,10
E00056797,E00056797,3,5km to less than 10km,10
E00056797,E00056797,4,10km to less than 20km,28
E00056797,E00056797,5,20km to less than 30km,1
E00056797,E00056797,6,30km to less than 40km,0
E00056797,E00056797,7,40km to less than 60km,0
E00056797,E00056797,8,60km and over,0
E00056797,E00056797,9,Works mainly from home,72
E00056797,E00056797,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056798,E00056798,-8,Does not apply,136
E00056798,E00056798,1,Less than 2km,7
E00056798,E00056798,2,2km to less than 5km,9
E00056798,E00056798,3,5km to less than 10km,10
E00056798,E00056798,4,10km to less than 20km,20
E00056798,E00056798,5,20km to less than 30km,0
E00056798,E00056798,6,30km to less than 40km,0
E00056798,E00056798,7,40km to less than 60km,1
E00056798,E00056798,8,60km and over,1
E00056798,E00056798,9,Works mainly from home,45
E00056798,E00056798,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",8
E00056799,E00056799,-8,Does not apply,146
E00056799,E00056799,1,Less than 2km,25
E00056799,E00056799,2,2km to less than 5km,16
E00056799,E00056799,3,5km to less than 10km,18
E00056799,E00056799,4,10km to less than 20km,19
E00056799,E00056799,5,20km to less than 30km,4
E00056799,E00056799,6,30km to less than 40km,0
E00056799,E00056799,7,40km to less than 60km,0
E00056799,E00056799,8,60km and over,0
E00056799,E00056799,9,Works mainly from home,31
E00056799,E00056799,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",14
E00056800,E00056800,-8,Does not apply,172
E00056800,E00056800,1,Less than 2km,9
E00056800,E00056800,2,2km to less than 5km,4
E00056800,E00056800,3,5km to less than 10km,12
E00056800,E00056800,4,10km to less than 20km,11
E00056800,E00056800,5,20km to less than 30km,2
E00056800,E00056800,6,30km to less than 40km,1
E00056800,E00056800,7,40km to less than 60km,0
E00056800,E00056800,8,60km and over,1
E00056800,E00056800,9,Works mainly from home,28
E00056800,E00056800,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",8
E00056801,E00056801,-8,Does not apply,117
E00056801,E00056801,1,Less than 2km,13
E00056801,E00056801,2,2km to less than 5km,12
E00056801,E00056801,3,5km to less than 10km,18
